client_ssn,client_name,client_street,client_city,client_zip,client_state,client_dob,client_phone,firm_id,dept_num
268-01-2798,Abby Chaster,6235 Doe Crossing Crossing,San Bernardino,92410,California,1984-04-06,9511399359,22-323-0813,0813-110
268-90-1937,Jocelin Erickson,9561 Macpherson Terrace,Orlando,32885,Florida,1984-05-12,4075933061,22-323-0813,0813-106
269-16-1974,Benny Winley,821 Bartelt Terrace,Waltham,2453,Massachusetts,2021-02-09,7749099961,40-386-3571,3571-122
269-89-1383,Vincent Probyn,55367 Maryland Avenue,Austin,78789,Texas,1979-05-27,5128076294,40-386-3571,3571-102
274-93-1504,Piggy Costar,7336 Reinke Parkway,New York City,10203,New York,1909-02-05,2122159916,40-386-3571,3571-114
275-42-6990,Angus Meneyer,5078 Rutledge Place,Cleveland,44191,Ohio,2000-08-26,2163595360,44-618-0600,0600-122
276-28-8078,Saidee Marcussen,02358 Straubel Park,Washington,20099,District of Columbia,1981-09-22,2027777289,44-618-0600,0600-110
276-76-3303,Tait Zettoi,341 Derek Junction,Fort Lauderdale,33320,Florida,1924-02-15,7543511522,44-618-0600,0600-112
277-01-1108,Muffin Readitt,024 Rowland Road,Memphis,38104,Tennessee,1985-04-08,6157667135,44-618-0600,0600-104
277-17-3161,Martino Caldow,12 Fieldstone Crossing,Palmdale,93591,California,1929-07-14,6616759767,87-043-6401,6401-114
277-93-9301,Raphael Soal,140 Pine View Crossing,Miami,33142,Florida,1991-08-12,3052333730,87-043-6401,6401-112
278-08-8239,Rodolph Hattiff,35240 Commercial Way,Springfield,62711,Illinois,1932-10-22,2178923272,87-043-6401,6401-110
278-86-6423,Biddy Shrubsall,1 Tennyson Plaza,San Antonio,78220,Texas,1982-05-17,2109406503,87-043-6401,6401-108
282-65-7519,Cacilia Trobey,0849 Oxford Hill,Silver Spring,20918,Maryland,1969-10-23,2401110444,87-043-6401,6401-104
283-02-1994,Darelle Etherson,94 Evergreen Junction,Phoenix,85025,Arizona,1956-09-18,9286360075,87-043-6401,6401-100
283-74-5052,Jonell Zwicker,47111 Kropf Avenue,Las Vegas,89193,Nevada,1916-07-01,7029840772,87-043-6401,6401-124
284-08-5726,Layla Bertenshaw,50492 Oxford Park,Harrisburg,17140,Pennsylvania,2020-04-22,7173276392,87-043-6401,6401-106
285-01-8341,Lynnet Belchambers,01760 Meadow Ridge Center,Oakland,94627,California,2005-11-13,5105239831,22-285-1947,1947-124
285-10-7084,Salaidh Bartleman,5 Kenwood Avenue,Santa Monica,90405,California,2007-11-30,3106931158,22-285-1947,1947-106
285-70-9231,Lyle Gianolo,84071 Thierer Plaza,Santa Rosa,95405,California,1950-12-08,7076631324,22-285-1947,1947-112
286-18-8023,Birdie Pittel,491 Sycamore Avenue,Chicago,60604,Illinois,1961-03-03,2245932769,36-768-2911,2911-118
286-56-0399,Mae Delafoy,13 Namekagon Plaza,Albuquerque,87105,New Mexico,2015-11-18,5056876728,36-768-2911,2911-106
286-94-8731,Bobbie Glenton,1785 Bluejay Alley,New Haven,6520,Connecticut,1900-03-15,2034685926,36-768-2911,2911-122
286-99-2451,Sapphire Arrol,04 Riverside Court,Topeka,66611,Kansas,1909-10-04,7855912272,36-768-2911,2911-114
287-35-9618,Zenia Aspey,184 Tony Circle,Dayton,45419,Ohio,2000-07-21,9372800408,38-183-8757,8757-122
288-73-7809,Umberto Castellanos,1 Warbler Circle,Chicago,60609,Illinois,1981-06-02,3126070151,38-183-8757,8757-112
289-72-6352,Chiarra Bounde,9065 Eagle Crest Drive,El Paso,79984,Texas,2020-03-27,9159142936,24-809-5785,5785-104
289-82-9068,Bea Antuoni,367 Butternut Lane,Katy,77493,Texas,1983-08-20,8323381513,87-043-6401,6401-100
291-28-9013,Laverne Bleiman,41 Kedzie Hill,Miami,33196,Florida,1939-04-16,7861406155,87-043-6401,6401-124
291-53-0930,Horatia Sabatini,8 Hayes Street,Washington,20503,District of Columbia,1905-01-12,2027085703,87-043-6401,6401-104
294-57-5599,Hanson Storm,36337 Grayhawk Alley,Albuquerque,87105,New Mexico,1961-05-08,5059304347,87-043-6401,6401-108
295-89-6281,Ammamaria Gisburn,35800 Lyons Crossing,New York City,10280,New York,2013-03-07,6466290533,87-043-6401,6401-110
296-05-4870,Emyle Lougheed,86 Spaight Plaza,Atlanta,30368,Georgia,2006-02-22,4042719679,87-043-6401,6401-112
296-25-8275,Mike Cristoforo,81 Kim Trail,Charlotte,28215,North Carolina,2019-07-07,7048198227,87-043-6401,6401-114
297-04-3806,Devy Karchewski,89168 Maple Wood Parkway,Dayton,45419,Ohio,2018-01-02,5132435487,87-043-6401,6401-106
297-64-7362,Camile Tovey,7501 Bay Avenue,Memphis,38168,Tennessee,1901-02-06,9019274129,74-575-2423,2423-108
297-81-4928,Horton Wigglesworth,85861 Dapin Park,Pasadena,91109,California,1957-10-05,8184240488,74-575-2423,2423-124
297-99-1128,Daven Schoenfisch,19 Loomis Street,Anchorage,99517,Alaska,1974-07-25,9078830065,74-575-2423,2423-122
298-11-7261,Claire Yablsley,768 Ludington Way,Lehigh Acres,33972,Florida,2001-12-14,2393406270,74-575-2423,2423-116
298-14-8948,Olia MacKintosh,9816 Prairie Rose Street,Berkeley,94712,California,1914-05-12,5102296791,99-416-9999,9999-100
298-37-0640,Misti Couldwell,5158 Dennis Terrace,Jackson,39236,Mississippi,1932-09-04,6019397212,14-373-4613,4613-118
298-89-0041,Hernando Prys,148 Village Green Pass,Clearwater,34615,Florida,1978-09-27,7275792765,14-373-4613,4613-106
298-91-1653,Bianca Thunnercliffe,8648 Shopko Drive,Baltimore,21203,Maryland,2000-09-09,4436623772,14-373-4613,4613-118
300-90-2568,Torrence Mottley,32 Canary Parkway,Fairbanks,99709,Alaska,2002-07-15,9074397074,14-373-4613,4613-106
300-91-3271,Mac Kingsford,33826 Thackeray Street,Buffalo,14225,New York,1918-11-19,7164594306,19-605-3360,3360-112
301-15-1866,Milzie Bickerdicke,7 Comanche Parkway,New Orleans,70165,Louisiana,2016-05-31,5043465118,19-605-3360,3360-118
301-82-6125,Addy Parcells,25 Farwell Way,High Point,27264,North Carolina,1909-02-25,3364952583,19-605-3360,3360-106
302-22-4305,Zollie Gilliat,43101 Darwin Place,Wilkes Barre,18768,Pennsylvania,1970-10-08,5702198628,52-271-5785,5785-122
302-99-2568,Moselle Loos,267 Moulton Way,Lubbock,79410,Texas,1956-12-01,8068476854,52-271-5785,5785-114
304-13-5874,Cale Lanfear,15 Iowa Parkway,Denver,80243,Colorado,1951-07-28,3037625979,52-271-5785,5785-110
304-20-9643,Zulema Sturgeon,3535 Browning Hill,Seattle,98195,Washington,1904-04-28,2061202855,78-297-6374,6374-102
304-63-5010,Nikolaus Carwithan,46 Buell Crossing,North Little Rock,72118,Arkansas,1946-09-25,5018422117,80-711-7692,7692-120
305-38-0891,Inglebert Addenbrooke,8 Leroy Lane,Springfield,65898,Missouri,1927-09-07,4177286484,80-711-7692,7692-106
305-55-5256,Carma Grigs,7 Clyde Gallagher Way,Littleton,80126,Colorado,1999-09-27,3031569001,80-711-7692,7692-118
307-52-0398,Benedicto Deegin,08754 Lunder Lane,Houston,77240,Texas,1928-05-20,7134470299,19-605-3360,3360-106
307-58-9859,Adelina Plaister,9 Northview Trail,Independence,64054,Missouri,1964-12-10,8166802208,19-605-3360,3360-118
309-62-7135,Ernesta Laskey,14 Mallory Court,Phoenix,85035,Arizona,1937-02-09,6233858029,19-605-3360,3360-112
310-55-6775,Doy Prichard,9988 Trailsway Parkway,Tucson,85725,Arizona,1922-06-28,5209086036,96-251-8140,8140-124
310-56-5963,Ermengarde Shilburne,0 La Follette Alley,Atlanta,30306,Georgia,1958-03-25,4042079504,96-251-8140,8140-122
310-70-5700,Gualterio Jakes,8 Oak Court,Norcross,30092,Georgia,1930-11-16,6784878213,96-251-8140,8140-100
311-05-1633,Hailee Spilling,85 Meadow Vale Junction,Kansas City,64125,Missouri,2018-08-04,8165037476,96-251-8140,8140-104
311-10-8069,Dannel Hordle,41 Schiller Road,Richmond,23285,Virginia,1921-10-16,8049770898,96-251-8140,8140-110
311-20-5917,Nanice McQuie,306 Fulton Way,Spokane,99210,Washington,1929-03-25,5098415281,96-251-8140,8140-120
311-70-5916,Therese Starbeck,0 Esker Drive,Columbus,43268,Ohio,1960-05-11,6141833923,96-251-8140,8140-102
311-75-7079,Allie Duer,2556 Cambridge Lane,Albany,12210,New York,1990-11-16,5188669327,96-251-8140,8140-114
312-69-0502,Rosemonde Ganniclifft,402 Ryan Hill,Cedar Rapids,52410,Iowa,1932-10-24,3192460101,14-384-2939,2939-110
312-89-4134,Wolfy Scholig,27341 Hagan Trail,Birmingham,35263,Alabama,1975-07-07,2051122978,14-384-2939,2939-104
314-51-8050,Letisha Hegg,6675 Village Green Park,Lake Charles,70607,Louisiana,1940-09-21,3373586665,14-384-2939,2939-102
314-55-8015,Brendis Spickett,71139 Rieder Park,Sioux Falls,57105,South Dakota,1967-08-12,6053287488,14-384-2939,2939-100
314-81-3535,Gustaf Pym,8874 Everett Center,Sacramento,94280,California,1990-07-20,9164719652,14-384-2939,2939-108
314-97-9985,Burgess Mahony,7262 Montana Court,Akron,44329,Ohio,1965-06-07,3304690919,31-448-4700,4700-104
315-08-7418,Dillie Ransbury,2 Thierer Circle,New York City,10099,New York,1986-10-18,6467603167,99-416-9999,9999-100
315-24-8761,Jilli Defrain,25 Hayes Place,Saint Louis,63143,Missouri,1934-07-06,3143758013,36-768-2911,2911-122
315-38-4426,Aland Vannoort,075 Bonner Terrace,Saint Paul,55127,Minnesota,2000-07-01,6128579834,36-768-2911,2911-118
317-65-3625,Orly Willeman,69008 Union Park,Reston,20195,Virginia,1971-09-02,7034478407,36-768-2911,2911-106
318-55-9543,Rob Wisam,4563 Lyons Street,Bethesda,20892,Maryland,1952-06-23,3011931649,36-768-2911,2911-114
319-74-5775,Moishe Barfoot,00588 Dwight Hill,Saint Louis,63158,Missouri,1920-07-17,3142292882,28-990-1568,1568-108
320-62-3984,Scarface Adrianello,78 Ramsey Avenue,Des Moines,50936,Iowa,1954-06-28,5154325157,28-990-1568,1568-124
321-24-7796,Carmine Holgan,1757 Donald Court,Fort Myers,33994,Florida,1936-11-07,2395795307,28-990-1568,1568-100
321-44-3443,Brandy Booker,7209 Tomscot Crossing,Boca Raton,33487,Florida,1919-09-30,5611421114,69-192-7922,7922-124
323-50-1889,Gaby Pays,3 Mendota Road,Atlanta,30301,Georgia,1964-08-15,4049801801,40-386-3571,3571-102
323-94-6403,Retha Rotge,611 Evergreen Pass,Philadelphia,19109,Pennsylvania,1937-08-01,6106975879,40-386-3571,3571-114
324-04-5483,Chester Brunker,9 Cherokee Road,Honolulu,96810,Hawaii,1945-06-15,8082695827,40-386-3571,3571-122
324-31-2685,Annetta Bradnock,737 Mccormick Drive,Charlotte,28242,North Carolina,1918-06-22,7043687035,69-192-7922,7922-124
326-47-4537,Anna-diane Carvilla,761 Butternut Circle,Inglewood,90398,California,1975-10-15,3107914189,93-738-4268,4268-124
326-64-0634,Bjorn Boch,2 Briar Crest Hill,Yonkers,10705,New York,1939-11-24,9145401584,93-738-4268,4268-106
326-68-1618,Wang Lufkin,706 Lighthouse Bay Crossing,San Francisco,94116,California,1918-09-10,4151119870,14-373-4613,4613-118
327-24-5755,Raddy Connachan,1 Arapahoe Pass,Juneau,99812,Alaska,1930-02-07,9079926570,14-373-4613,4613-106
328-23-4236,Augy Piesing,090 Scoville Park,Houston,77293,Texas,1906-07-18,2819115471,99-416-9999,9999-100
328-73-6176,Gaspar Schwaiger,17 Stuart Terrace,Pittsburgh,15274,Pennsylvania,1956-10-29,4122494806,28-990-1568,1568-108
329-52-5142,Roselle Tevlin,373 Lighthouse Bay Way,Santa Barbara,93111,California,1931-06-29,8053265226,28-990-1568,1568-100
331-63-4679,Terence Shergill,1 Northport Avenue,Mansfield,44905,Ohio,1942-08-07,4195243702,28-990-1568,1568-124
332-21-7771,Katlin Yearby,1652 Kingsford Court,Saint Paul,55114,Minnesota,2014-11-23,6123097206,44-618-0600,0600-110
332-62-8009,Stanislaus Dinnage,842 Farragut Terrace,Erie,16534,Pennsylvania,1901-12-08,8142919095,44-618-0600,0600-112
332-65-3401,Steffie Lupson,351 Pepper Wood Way,San Antonio,78285,Texas,1957-06-21,2104924547,44-618-0600,0600-122
333-47-9938,Emerson Louche,27441 Tony Street,Springfield,62705,Illinois,1928-05-21,2174358566,44-618-0600,0600-104
333-62-6846,Baron Curnock,6 Debs Hill,Boise,83705,Idaho,1973-12-02,2084156512,22-285-1947,1947-112
335-01-7637,Bev Castanyer,0 Dayton Crossing,Springfield,62711,Illinois,1935-06-17,2171558681,22-285-1947,1947-124
335-79-5417,Jessie McKune,1808 Tennyson Circle,San Francisco,94147,California,1903-01-30,4158132720,22-285-1947,1947-106
336-72-5001,Odele Rakes,248 Derek Road,Greenville,29615,South Carolina,2003-05-30,8648366595,82-858-3085,3085-100
336-83-0863,Adelice Nasi,45 Claremont Lane,Las Vegas,89130,Nevada,1964-06-06,7023412250,44-618-0600,0600-104
337-61-9402,Cchaddie MacNulty,978 Meadow Ridge Circle,Midland,79710,Texas,2011-08-25,4325570260,44-618-0600,0600-112
339-52-4564,Gilburt Dutch,38993 Luster Place,Chicago,60619,Illinois,1970-11-01,7737557258,44-618-0600,0600-122
339-56-0799,Kirsti Stefi,65 Killdeer Parkway,Austin,78703,Texas,1965-02-25,5129187086,44-618-0600,0600-110
339-61-9896,Kata Guiducci,9 Golf View Circle,Plano,75074,Texas,1908-06-27,2144170453,28-990-1568,1568-124
341-05-6800,Serge Morrow,9 Northwestern Drive,Laredo,78044,Texas,1968-08-06,9561152169,28-990-1568,1568-108
341-47-5222,Hersch Tuttle,1489 Forest Run Hill,Amarillo,79176,Texas,2002-02-20,8068974755,28-990-1568,1568-100
342-51-5458,Cristine Metzel,52651 Roth Circle,Las Vegas,89135,Nevada,1974-05-02,7029063835,78-297-6374,6374-102
342-87-8390,Rory Sedcole,528 Farmco Way,Salt Lake City,84130,Utah,1931-10-17,8014702118,40-386-3571,3571-102
343-12-8021,Jeramie Traut,91 Michigan Terrace,Brooklyn,11231,New York,1928-12-03,2128163450,40-386-3571,3571-114
343-22-9066,Rickie Insull,7716 Green Crossing,San Jose,95123,California,1907-02-21,4084131496,40-386-3571,3571-122
343-94-9137,Lion Dollin,2 Golf Course Crossing,Pensacola,32520,Florida,2000-12-20,8503992398,14-384-2939,2939-104
345-15-3489,Christy Boyen,7 Starling Avenue,Orange,92668,California,1908-12-04,7605015064,14-384-2939,2939-102
345-21-5021,Debra Luesley,95 Heath Point,San Angelo,76905,Texas,1966-03-02,3259300857,14-384-2939,2939-108
346-59-4258,Kameko Kennington,3 Kingsford Way,Montgomery,36177,Alabama,1991-07-26,3346740565,14-384-2939,2939-100
348-72-6005,Nalani Cocci,9 Crest Line Hill,Vancouver,98682,Washington,2008-08-23,3606390167,14-384-2939,2939-110
352-58-0939,Hillel Wissbey,808 Forster Parkway,Stockton,95205,California,1942-11-27,2091148123,82-858-3085,3085-100
353-64-0296,Margeaux Crecy,8 Forest Center,Boston,2119,Massachusetts,2017-11-28,5082328491,88-111-7817,7817-106
353-87-0546,Bob Boyall,5297 Swallow Pass,Cincinnati,45296,Ohio,1961-04-20,5133340591,22-285-1947,1947-106
354-55-7447,Elton Gullane,3833 Raven Plaza,Silver Spring,20918,Maryland,1914-03-31,2402306724,22-285-1947,1947-112
354-95-2897,Cos Churches,9818 Haas Park,Shawnee Mission,66220,Kansas,1946-10-10,9135304972,22-285-1947,1947-124
354-98-8179,Teena McNickle,01996 Burrows Way,Phoenix,85099,Arizona,1943-04-17,6026242371,78-297-6374,6374-102
356-09-2616,Neile Palffrey,35048 Bluejay Park,Richmond,23285,Virginia,2004-01-22,8045453256,64-866-6708,6708-120
357-45-1712,Artie Tocknell,1 Canary Pass,Saint Joseph,64504,Missouri,1974-07-09,8164712326,64-866-6708,6708-116
357-57-5137,Verla Gisbey,8792 Rowland Road,Hayward,94544,California,1969-09-26,2094146409,64-866-6708,6708-106
357-68-3553,Torrey Scheffel,2993 Anthes Avenue,Columbus,31998,Georgia,2009-07-07,7066939189,64-866-6708,6708-122
357-95-4869,Arnuad Waitland,0307 Pennsylvania Court,Newton,2162,Massachusetts,1968-01-26,5089170520,40-386-3571,3571-122
357-98-4586,Zonnya Marishenko,19 Prairie Rose Drive,Phoenix,85072,Arizona,1913-03-07,6022697276,40-386-3571,3571-102
359-25-2825,Sherlocke Cotherill,7596 Susan Way,Atlanta,31190,Georgia,1901-08-24,4043875968,40-386-3571,3571-114
359-68-7888,Natalina Glasscoe,876 Dryden Avenue,Littleton,80161,Colorado,1950-05-19,7202158961,52-271-5785,5785-110
359-75-2012,Lisa Gillow,42654 Corscot Place,Houston,77276,Texas,1954-03-20,7135575166,52-271-5785,5785-114
360-11-7639,Horacio Yashin,55097 Fair Oaks Place,Spokane,99205,Washington,1960-09-28,5095200589,52-271-5785,5785-122
360-66-1872,Hayley Twelve,1 Village Terrace,Whittier,90605,California,2015-11-05,5627349709,96-251-8140,8140-104
360-69-5616,Lacey Petroulis,007 Cardinal Circle,Saint Petersburg,33710,Florida,2000-07-20,7279567309,96-251-8140,8140-100
363-97-3748,Ruby Chape,9388 Randy Drive,Springfield,62705,Illinois,1905-06-05,2172014402,96-251-8140,8140-114
364-89-0261,Cicily Figgen,2 Leroy Court,Los Angeles,90015,California,1929-02-08,8185208038,96-251-8140,8140-120
365-18-0434,Haleigh Shakespear,98659 Lakewood Point,Topeka,66617,Kansas,1944-11-16,7853722020,96-251-8140,8140-110
365-18-2562,Sianna Gamlen,8475 Killdeer Street,Norfolk,23520,Virginia,1934-01-28,7573125169,96-251-8140,8140-102
365-32-1914,Benedetto Crosser,16731 Coleman Center,Albuquerque,87190,New Mexico,1917-03-04,5051919097,96-251-8140,8140-124
366-76-3470,Brittni Brosi,21 Northport Junction,Denver,80223,Colorado,1914-05-21,7206016810,96-251-8140,8140-122
367-11-4863,Nataline Pellissier,772 Ridgeway Point,Philadelphia,19191,Pennsylvania,1938-09-02,2153901247,26-647-2021,2021-102
367-98-8438,Tiffani Hiskey,3 Dapin Road,Providence,2912,Rhode Island,1930-09-22,4012657843,26-647-2021,2021-124
369-38-9274,Martica Harrinson,356 Haas Road,Rochester,14646,New York,1988-02-02,5856658573,26-647-2021,2021-124
369-99-0167,Donaugh Beavan,7802 Springs Park,Maple Plain,55579,Minnesota,1964-02-04,9528874399,26-647-2021,2021-102
370-71-1745,Shayne Mullender,88637 Jana Hill,Reston,20195,Virginia,2001-05-31,7039048422,77-304-4805,4805-108
372-02-0798,Rois Pearlman,6870 Maple Wood Trail,Bethesda,20892,Maryland,1937-05-23,3019128872,77-304-4805,4805-104
372-83-1020,Koren Bussons,3 Portage Terrace,Chicago,60636,Illinois,1981-09-17,7738225023,52-271-5785,5785-122
373-59-9690,Tab Dunnet,0 Armistice Center,Des Moines,50320,Iowa,1988-07-28,5158642872,52-271-5785,5785-114
373-61-0684,Cacilia Zuker,79 Holmberg Terrace,Dayton,45454,Ohio,1907-08-09,9371757032,52-271-5785,5785-110
373-68-1287,Noak Verheijden,17 David Hill,Cleveland,44177,Ohio,1901-05-17,4405546233,26-647-2021,2021-124
374-94-2573,Waldemar Kinny,52107 Fairview Way,Raleigh,27610,North Carolina,1911-03-11,9194162110,26-647-2021,2021-102
375-34-6954,Stacee Chaim,36052 Fieldstone Crossing,Abilene,79605,Texas,1916-02-11,3253525957,22-323-0813,0813-114
375-65-5130,Odelia Fender,404 Lotheville Road,Mansfield,44905,Ohio,2010-12-18,4193496983,22-323-0813,0813-106
375-77-2491,Lishe Heinreich,6 Lakewood Lane,Cincinnati,45223,Ohio,1917-03-29,5134819939,22-323-0813,0813-110
376-10-7546,Minnie Babber,62 Arkansas Terrace,Oakland,94622,California,1948-06-07,5104506465,26-647-2021,2021-124
376-11-6265,Siegfried Bottrill,8 South Alley,Woburn,1813,Massachusetts,1917-06-13,3397757139,26-647-2021,2021-102
376-44-0132,Ronnie Millyard,6 Northview Crossing,San Antonio,78215,Texas,1926-05-05,2103214235,99-416-9999,9999-100
378-70-0497,Alicia Kime,08599 Bluejay Point,Atlanta,30392,Georgia,1977-10-01,4046134955,26-647-2021,2021-102
378-81-2438,Ludvig Valente,62 Shelley Avenue,Topeka,66617,Kansas,1939-07-06,7852330226,26-647-2021,2021-124
378-89-7385,Jacquelynn Revington,1022 Clyde Gallagher Crossing,Charlotte,28272,North Carolina,1963-12-13,7045027949,05-212-3704,3704-104
379-35-5114,Kathye McKeachie,174 3rd Trail,Worcester,1610,Massachusetts,1946-10-17,7749492222,22-285-1947,1947-112
379-73-7005,Vicki Carah,7 Susan Pass,Memphis,38181,Tennessee,1937-04-20,9011855834,22-285-1947,1947-106
380-99-7663,Martie Monck,3432 Golf Course Junction,San Diego,92137,California,1902-09-06,6196837051,22-285-1947,1947-124
382-06-2100,Wells Robbeke,648 Arrowood Park,Mobile,36605,Alabama,1994-01-08,2517168008,52-271-5785,5785-114
382-46-1528,Ilsa Imbrey,31 Scofield Way,Atlanta,31136,Georgia,1973-04-12,4045185014,52-271-5785,5785-122
382-46-7112,Ransell Whaites,5248 Lakewood Hill,Boston,2283,Massachusetts,1956-02-26,9789163717,52-271-5785,5785-110
383-11-0614,Kendricks Besson,0 Harbort Alley,London,40745,Kentucky,2021-02-19,6064120290,22-323-0813,0813-114
383-95-1526,Gates Corless,9171 Kim Trail,Evansville,47747,Indiana,2020-07-15,8124961901,22-323-0813,0813-110
383-99-5142,Eveline Swadlin,9 Menomonie Street,Chicago,60686,Illinois,2001-03-03,3125381358,22-323-0813,0813-106
384-53-1324,Johnath Corhard,1767 Oxford Pass,Odessa,79764,Texas,1929-02-11,4327671381,77-304-4805,4805-104
384-69-1427,Zacharias Breen,5 Memorial Point,Houston,77255,Texas,1969-10-06,7132026313,77-304-4805,4805-108
384-86-7400,Cory Jeaycock,16695 Schlimgen Way,Bryan,77806,Texas,1921-05-29,9797692627,74-575-2423,2423-122
385-56-7323,Jackson McKeefry,91 Vidon Trail,Baton Rouge,70883,Louisiana,1939-07-13,2258108414,74-575-2423,2423-116
386-49-2907,Enriqueta Tirrey,092 Memorial Pass,Indianapolis,46207,Indiana,1973-06-06,3172289716,74-575-2423,2423-108
387-49-2029,Kimball O'Kenny,48 Forster Circle,Colorado Springs,80935,Colorado,1945-01-14,7194643320,74-575-2423,2423-124
387-95-8686,Madelyn Borzoni,34151 Heath Alley,Las Vegas,89145,Nevada,1941-04-27,7028140317,39-256-1100,1100-116
388-70-1696,Clo Burmingham,26 8th Drive,Phoenix,85015,Arizona,1953-06-15,4803992322,39-256-1100,1100-104
388-82-9828,Rea Amner,02551 Prairie Rose Avenue,Denver,80255,Colorado,1930-12-29,7203918958,39-256-1100,1100-110
389-05-0797,Judd Gronow,4 Monterey Drive,Las Vegas,89150,Nevada,1984-07-02,7021430790,39-256-1100,1100-100
389-48-2203,Lissa Fallen,01 Lighthouse Bay Place,Santa Barbara,93111,California,1913-04-19,7027303611,52-271-5785,5785-122
390-45-9612,Ilene Beaney,2279 Russell Crossing,Green Bay,54313,Wisconsin,1930-10-26,9203980380,52-271-5785,5785-114
391-13-4282,Corbet Ayree,25 Graceland Parkway,Palo Alto,94302,California,1920-02-26,3101203551,52-271-5785,5785-110
391-61-0275,Darbee Gerardeaux,462 Golf View Road,Panama City,32405,Florida,1917-12-13,8509950558,96-251-8140,8140-102
391-70-8635,Tan Goodlad,21665 Briar Crest Road,El Paso,79940,Texas,1971-09-21,9158579274,96-251-8140,8140-120
391-79-0439,Ardelia Harfoot,2610 Tomscot Trail,Madison,53726,Wisconsin,2010-09-02,6081609167,96-251-8140,8140-114
392-30-0741,Nester Bishop,639 Fairfield Park,Lincoln,68524,Nebraska,2006-11-30,4022966561,96-251-8140,8140-110
392-41-9850,Frieda Male,643 Fallview Point,Minneapolis,55423,Minnesota,1940-11-09,9528887196,96-251-8140,8140-100
392-71-9774,Nadiya Bucknill,66010 Hazelcrest Pass,Washington,20319,District of Columbia,1939-03-11,2026292770,96-251-8140,8140-104
394-51-8253,Rodi Sherer,861 Marquette Parkway,Madison,53710,Wisconsin,1976-11-01,6081999191,96-251-8140,8140-124
394-62-7695,Suzann Cocking,138 Warner Hill,Port Saint Lucie,34985,Florida,1922-07-16,7724105704,96-251-8140,8140-122
394-78-9949,Lotte Ronan,084 Swallow Terrace,Albuquerque,87190,New Mexico,2013-07-11,5055641231,14-384-2939,2939-104
395-81-1031,Clayton Wrigley,0239 Oriole Junction,Cincinnati,45203,Ohio,1916-09-30,5138444109,14-384-2939,2939-102
396-64-0067,Aubrey Greig,6539 Warbler Avenue,Washington,20205,District of Columbia,1992-09-01,2029979030,14-384-2939,2939-100
396-65-9199,Cacilie Troth,4765 Basil Terrace,Chicago,60663,Illinois,2006-04-03,3122681524,14-384-2939,2939-108
396-70-9757,Boy Brunner,725 Kim Street,San Antonio,78235,Texas,1915-05-02,2107630100,14-384-2939,2939-110
397-38-1542,Virgie Costain,58 Elgar Court,El Paso,88519,Texas,1907-05-30,9159996691,88-111-7817,7817-106
397-87-7538,Noreen Speachley,52 Canary Pass,Battle Creek,49018,Michigan,1944-11-01,2699559221,39-256-1100,1100-116
398-46-1480,Mildrid Winders,65390 Dorton Terrace,Philadelphia,19093,Pennsylvania,1947-01-29,2158042437,39-256-1100,1100-110
399-52-6296,Nickey Dodgshun,8 Blackbird Junction,Milwaukee,53234,Wisconsin,1947-09-30,4143701835,39-256-1100,1100-100
401-28-5341,Blakelee Birds,865 Dexter Plaza,Flushing,11355,New York,1983-04-21,7186215087,39-256-1100,1100-104
401-63-5056,Benjie Farraway,80803 Mayer Parkway,Seattle,98127,Washington,1989-01-11,2061200511,40-386-3571,3571-102
401-89-6369,Cherlyn Bottini,14 Clemons Alley,New York City,10280,New York,1963-04-18,2126458561,40-386-3571,3571-114
402-08-2285,Arvy Stobbart,100 Elmside Point,Memphis,38126,Tennessee,1985-12-20,9011612067,40-386-3571,3571-122
403-10-7636,Beitris Benmore,192 Reindahl Pass,Brooklyn,11247,New York,1953-04-03,2127141604,05-212-3704,3704-104
404-49-2010,Lonny Weinmann,820 Claremont Avenue,Paterson,7544,New Jersey,1995-06-22,8627508156,82-858-3085,3085-100
406-06-3040,Christiano Hollingshead,56 Goodland Center,Philadelphia,19109,Pennsylvania,1986-12-16,2674793862,64-866-6708,6708-122
407-76-0257,Denis Fetherston,929 Buhler Lane,Fresno,93762,California,1945-07-24,5595342536,64-866-6708,6708-106
409-63-7757,Gardner Kunz,554 School Place,Spokane,99252,Washington,1932-02-28,5091106569,64-866-6708,6708-116
410-95-6744,Lishe Vanichkin,33023 Roth Road,Wichita,67236,Kansas,1945-04-03,3168441433,64-866-6708,6708-120
411-15-7096,Beryl Vere,8375 Erie Parkway,Boston,2216,Massachusetts,1925-12-04,6177833412,14-384-2939,2939-108
411-58-1504,Mikol Blagden,96001 Sutteridge Court,Atlanta,30351,Georgia,1902-07-21,4044341431,14-384-2939,2939-110
413-40-2084,Philomena Wiggins,02 Darwin Center,Minneapolis,55428,Minnesota,1969-07-05,7638377587,14-384-2939,2939-102
415-09-0404,Aubrie Meffen,99517 Gina Junction,New York City,10034,New York,1901-01-08,6466045200,14-384-2939,2939-100
417-70-8575,Tannie Scurry,1 Dakota Pass,Salt Lake City,84115,Utah,1903-03-16,8014154432,14-384-2939,2939-104
417-80-6328,Merna Mulleary,453 Hoffman Drive,Pueblo,81015,Colorado,1904-10-09,7197261098,52-271-5785,5785-114
419-03-7773,Lexy Pardal,361 Judy Avenue,Fort Smith,72905,Arkansas,2015-03-19,4794524841,52-271-5785,5785-122
